LotArea,YearBuilt,SalePrice,Age
14100,1935,381000,83
11344,1958,144000,60
23595,1979,260000,39
9156,1968,185750,50
13526,1965,137000,53
11512,1959,177000,59
5362,1910,139000,108
11345,1948,137000,70
12936,1972,162000,46
17871,1967,197900,51
9473,2002,237000,16
7500,1920,68400,98
9808,2002,227000,16
8049,1990,180000,28
8800,1977,150500,41
9400,1971,139000,47
9638,1919,169000,99
6000,1939,132500,79
9790,1963,143000,55
36500,1964,190000,54
5664,2000,278000,18
11065,2006,281000,12
14112,1964,180500,54
1680,1972,119500,46
6600,1892,107500,126
10140,1976,162900,42
8172,1955,115000,63
8400,1968,138500,50
8700,1963,155000,55
3675,2005,140000,13
63887,2008,160000,10
7500,1959,154000,59
10762,1999,225000,19
7500,1942,177500,76
10120,1994,290000,24
8688,2005,232000,13
3363,2004,130000,14
13173,2006,325000,12
6955,2005,202500,13
8072,1994,138000,24
12000,1948,147000,70
7153,1991,179200,27
17500,1959,335000,59
8814,2005,203000,13
9572,1990,302000,28
14774,1999,333168,19
8190,1954,119000,64
11075,1969,206900,49
10226,2008,295493,10
4230,2006,208900,12
14781,2001,275000,17
10215,1954,111000,64
8400,1957,156500,61
6627,1949,72500,69
10186,1992,190000,26
5330,1940,82500,78
9986,2006,147000,12
3636,1922,55000,96
4270,1931,79000,87
6600,1982,130500,36
10440,1920,256000,98
9084,1998,176500,20
10000,2006,227000,12
10780,1976,132500,42
8877,1938,100000,80
7200,1938,125500,80
2368,1970,125000,48
9650,1977,167900,41
9246,1973,135000,45
4118,1941,52500,77
13450,2002,200000,16
9560,1972,128500,46
8294,1971,123000,47
13695,2003,155000,15
9375,2002,228500,16
7558,1928,177000,90
11103,2006,155835,12
6000,1920,108500,98
20781,1968,262500,50
15306,2006,283463,12
16196,1998,215000,20
5250,1872,122000,146
11643,1969,200000,49
9247,1962,171000,56
6000,1937,134900,81
14720,1995,410000,23
10316,2000,235000,18
10192,1968,170000,50
9477,1966,110000,52
12537,1971,149900,47
2117,2000,177500,18
16737,2004,315000,14
9842,1921,189000,97
16158,2005,260000,13
12513,1920,104900,98
8499,2006,156932,12
3180,2005,144152,13
7500,2000,216000,18
9179,1999,193000,19
2665,1977,127000,41
4435,2003,144000,15
10635,2003,232000,15
5400,1920,105000,98
9600,1955,165500,63
9750,1998,274300,20
11400,2001,466500,17
10625,2005,250000,13
10991,2007,239000,11
6292,1930,91000,88
10998,1941,117000,77
1953,1973,83000,45
9735,2006,167500,12
8212,1914,58500,104
12925,1970,237500,48
7200,1920,157000,98
25339,1918,112000,100
9060,1939,105000,79
5436,1922,125500,96
16692,1978,250000,40
8520,1916,136000,102
14892,2006,377500,12
6000,1941,131000,77
9100,2000,235000,18
8944,1967,124000,51
7838,1967,123000,51
10800,1905,163000,113
4045,2006,246578,12
12665,2005,281213,13
57200,1948,160000,70
6120,1920,137500,98
7200,1950,138000,68
6171,1925,137450,93
6000,1929,120000,89
7415,2004,193000,14
6762,2006,193879,12
15256,2007,282922,11
10410,1915,105000,103
3842,2004,275000,14
8445,1972,133000,46
8780,1985,112000,33
7740,1910,125500,108
20544,1986,215000,32
12420,2001,230000,17
9600,1950,140000,68
7200,1949,90000,69
10994,2005,257000,13
13053,1923,207000,95
3635,2007,175900,11
11340,1885,122500,133
16545,1998,340000,20
9204,1963,124000,55
16381,1969,223000,49
11700,1968,179900,50
4043,1977,127500,41
4435,2003,136500,15
19690,1966,274970,52
9503,1958,144000,60
10721,1959,142000,59
10944,1994,271000,24
10930,1945,140000,73
7200,1940,119000,78
12546,1981,182900,37
21930,2005,192140,13
4928,1976,143750,42
10800,1927,64500,91
10261,2000,186500,18
17400,1977,160000,41
8400,1962,174000,56
9000,1971,120500,47
12444,2008,394617,10
7407,1957,149700,61
11584,1979,197000,39
11526,1922,191000,96
4426,2004,149300,14
11003,2008,310000,10
8854,1916,121000,102
8500,2004,179600,14
8400,1966,129000,52
26142,1962,157900,56
10000,1995,240000,23
11767,1910,112000,108
1533,1970,92000,48
9000,1974,136000,44
9262,2008,287090,10
3675,2005,145000,13
17217,2006,84500,12
7500,2004,185000,14
7917,1999,175000,19
13175,1978,210000,40
9042,1941,266500,77
9717,1950,142125,68
9937,1965,147500,53
